epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,7655.74,1.94279,2.70492,2.26809,0.51164,0.42684,0.38443,0.14732,2.18683,2.6346,2.73222,0.000550056,0.000550056,0.000550056
155,7705.34,1.90966,2.63928,2.25487,0.47529,0.39847,0.38116,0.15476,2.25139,2.79,2.81908,0.00054639,0.00054639,0.00054639
156,7755.04,1.94281,2.6984,2.25188,0.42224,0.43044,0.36503,0.14421,2.15587,2.66157,2.72447,0.000542723,0.000542723,0.000542723
157,7804.71,1.94536,2.64497,2.26827,0.4395,0.39321,0.38601,0.14858,2.24883,2.71716,2.80641,0.000539057,0.000539057,0.000539057
158,7854.48,1.93595,2.6196,2.26681,0.44942,0.39846,0.39954,0.15381,2.18168,2.6087,2.75082,0.000535391,0.000535391,0.000535391
159,7904.14,1.91739,2.66773,2.25323,0.52177,0.40991,0.41337,0.15832,2.19915,2.6078,2.74629,0.000531725,0.000531725,0.000531725
160,7953.97,1.94364,2.68896,2.27995,0.55213,0.38413,0.40485,0.15933,2.20743,2.56918,2.76857,0.000528058,0.000528058,0.000528058
161,8003.77,1.92565,2.63882,2.26331,0.40677,0.4588,0.39027,0.15592,2.21122,2.56271,2.76424,0.000524392,0.000524392,0.000524392
162,8053.5,1.90901,2.61378,2.27293,0.57629,0.39857,0.43859,0.17601,2.15032,2.60219,2.73429,0.000520726,0.000520726,0.000520726
163,8103.43,1.94876,2.63196,2.27981,0.49231,0.44706,0.43798,0.17695,2.16694,2.51468,2.69763,0.000517059,0.000517059,0.000517059
164,8153.45,1.91357,2.60624,2.26426,0.4897,0.41107,0.405,0.16526,2.18526,2.60266,2.72745,0.000513393,0.000513393,0.000513393
165,8203.14,1.91563,2.60941,2.25987,0.54955,0.45162,0.45414,0.17952,2.20791,2.5433,2.731,0.000509727,0.000509727,0.000509727
166,8253.09,1.9277,2.64095,2.25524,0.57018,0.46819,0.46664,0.17621,2.18697,2.50209,2.71593,0.00050606,0.00050606,0.00050606
167,8302.8,1.92399,2.57167,2.24094,0.47445,0.4872,0.44275,0.17992,2.17951,2.48734,2.72488,0.000502394,0.000502394,0.000502394
168,8352.47,1.91239,2.59166,2.23235,0.52835,0.45611,0.42709,0.16529,2.21707,2.49308,2.76276,0.000498728,0.000498728,0.000498728
169,8402.2,1.9067,2.55829,2.23892,0.44838,0.42953,0.41575,0.15742,2.19389,2.54297,2.73208,0.000495062,0.000495062,0.000495062
170,8451.89,1.92569,2.61936,2.23515,0.41404,0.45323,0.411,0.17403,2.14524,2.61976,2.68173,0.000491395,0.000491395,0.000491395
171,8501.61,1.9179,2.59197,2.23494,0.52225,0.46907,0.44239,0.17647,2.18173,2.52665,2.72483,0.000487729,0.000487729,0.000487729
172,8551.21,1.90453,2.5678,2.22015,0.55739,0.42576,0.43104,0.17472,2.19143,2.52272,2.75783,0.000484063,0.000484063,0.000484063
173,8600.98,1.90958,2.57857,2.25087,0.52768,0.44019,0.38536,0.16636,2.16327,2.59146,2.67151,0.000480396,0.000480396,0.000480396
174,8650.67,1.9271,2.54446,2.23512,0.46113,0.48241,0.40745,0.16863,2.20296,2.55373,2.7255,0.00047673,0.00047673,0.00047673
175,8700.3,1.90758,2.5687,2.24005,0.49776,0.45662,0.42278,0.16555,2.2164,2.52031,2.76065,0.000473064,0.000473064,0.000473064
176,8750.06,1.90574,2.61328,2.24309,0.55358,0.40218,0.44985,0.18008,2.18762,2.56294,2.71729,0.000469397,0.000469397,0.000469397
177,8799.8,1.90582,2.56466,2.23884,0.58062,0.34781,0.37816,0.15453,2.19093,2.64439,2.75699,0.000465731,0.000465731,0.000465731
178,8849.6,1.88967,2.55625,2.23856,0.58572,0.41796,0.45751,0.18598,2.18201,2.55329,2.73891,0.000462065,0.000462065,0.000462065
179,8899.41,1.89587,2.54379,2.21116,0.58848,0.43744,0.45292,0.18254,2.17405,2.5313,2.72901,0.000458399,0.000458399,0.000458399
